Group,Address
KT_SoftwareDevDept_MacOS/addresses,10.214.202.67
KT_SoftwareDevDept_MacOS/addresses,10.214.202.172
KT_SoftwareDevDept_MacOS/addresses,10.214.202.182
KT_SoftwareDevDept_MacOS/addresses,10.214.202.238
KT_SoftwareDevDept_MacOS/addresses,10.214.202.161
KT_SoftwareDevDept_MacOS/addresses,10.214.202.239
KT_SoftwareDevDept_MacOS/addresses,10.214.202.128
KT_SoftwareDevDept_MacOS/addresses,10.214.202.113
KT_SoftwareDevDept_MacOS/addresses,10.214.202.126
KT_SoftwareDevDept_MacOS/addresses,10.214.202.130
KT_SoftwareDevDept_MacOS/addresses,10.214.202.121
KT_SoftwareDevDept_MacOS/addresses,10.214.202.138
KT_SoftwareDevDept_MacOS/addresses,10.214.202.122
KT_SoftwareDevDept_MacOS/addresses,10.214.202.168
KT_SoftwareDevDept_MacOS/addresses,10.214.202.167
KT_SoftwareDevDept_MacOS/addresses,10.214.202.185
KT_SoftwareDevDept_MacOS/addresses,10.214.202.175
KT_SoftwareDevDept_MacOS/addresses,10.214.202.240
KT_SoftwareDevDept_MacOS/addresses,10.214.202.241
KT_SoftwareDevDept_MacOS/addresses,10.214.202.242
KT_SoftwareDevDept_MacOS/addresses,10.214.200.57
KT_SoftwareDevDept_MacOS/addresses,10.214.200.54
KT_SoftwareDevDept_MacOS/addresses,10.214.202.127
KT_SoftwareDevDept_MacOS/addresses,10.214.202.110
KT_SoftwareDevDept_MacOS/addresses,10.214.200.100
software_User,10.214.92.0/24
software_User,10.214.200.0/24
software_User,10.214.202.0/23
CRM22111593620_User,10.200.248.135/32
CRM22111593620_User,10.200.249.130/32
CRM22111593620_User,10.200.248.47/32
CRM22111593620_User,10.212.248.36/32
CRM22111593620_User,10.202.242.33/32
CRM22111593620_User,10.202.242.66/32
CRM22111593620_User,10.202.242.62/32
CRM22111593620_User,10.201.243.46/32
CRM22111593620_User,10.202.243.233/32
CRM22111593620_User,10.202.242.100/32
CRM22111593620_User,10.206.250.201/32
CRM22111593620_User,10.214.142.229/32
CRM22111593620_User,10.206.243.109/32
CRM22111593620_User,10.204.243.69/32
CRM22111593620_User,10.204.243.90/32
